brand,operating_system,RAM_nth,storage_nth,storage_type,cpu_benchmark,gpu_class,screen_size,PPI,warranty,refurbished,price
LENOVO,WINDOWS,2,6.906890596,SSD,2501,4,15.6,141,0,YES,235.99
ASUS,WINDOWS,2,7,SSD,3048,3,15.6,141,1,YES,236.99
LENOVO,WINDOWS,2,7,SSD,3685,3,15.6,94,0,YES,259.99
HP,WINDOWS,2,7,SSD,2689,4,15.6,94,0,YES,223.49
DELL,WINDOWS,3,7,SSD,3256,3,14,157,0,YES,374.49
ASUS,WINDOWS,4,10.96578428,SSD,23322,1,16,142,0,YES,2396.49
LENOVO,WINDOWS,3,7.491853096,SSD,3035,4,14,105,0,YES,151.99
LENOVO,WINDOWS,4,7.491853096,SSD,6908,3,14,157,0,YES,428.49
LENOVO,WINDOWS,4,7.491853096,SSD,2743,4,14,118,0,YES,296.99
ASUS,WINDOWS,4,9.965784285,SSD,23697,2,14,162,1,YES,1410.49
ASUS,WINDOWS,4,9.965784285,SSD,24382,1,14,216,1,YES,1673.49
ACER,WINDOWS,3,9.965784285,SSD,11176,2,15.6,141,1,YES,1137.49
LENOVO,WINDOWS,4,9.965784285,SSD,12285,2,15.6,141,0,YES,1204.99
LENOVO,WINDOWS,4,9.965784285,SSD,15381,2,15.6,141,1,YES,1311.49
LENOVO,WINDOWS,5,9.965784285,SSD,16079,2,15.6,141,1,YES,1745.99
MSI,WINDOWS,4,9.965784285,SSD,19865,2,15.6,141,2,YES,1017.99
ASUS,WINDOWS,4,9.965784285,SSD,21223,2,16,142,1,YES,1209.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,15.6,141,1,YES,1399.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,17.3,127,1,YES,1521.49
ASUS,WINDOWS,4,9.965784285,SSD,21366,1,15.6,141,1,YES,1472.49
ASUS,WINDOWS,4,9.965784285,SSD,22153,1,15.6,188,1,YES,1832.99
MEDION,WINDOWS,5,9.965784285,SSD,21366,1,17.3,170,2,YES,1616.49
RAZER,WINDOWS,4,9.965784285,SSD,23079,1,14,210,1,YES,1971.99
MSI,WINDOWS,4,9.965784285,SSD,29151,1,17.3,127,2,YES,2107.49
LENOVO,WINDOWS,3,7.906890596,SSD,2512,4,14,112,0,YES,175.99
LENOVO,WINDOWS,3,7.906890596,SSD,3256,3,14,157,0,YES,285.49
LENOVO,WINDOWS,4,7.906890596,SSD,3256,3,14,157,0,YES,313.49
HP,WINDOWS,3,7.906890596,SSD,2501,4,14,112,0,YES,254.49
HP,WINDOWS,3,7.906890596,SSD,3256,4,12.5,176,0,YES,303.49
HP,WINDOWS,3,7.906890596,SSD,3256,4,12.5,117,0,YES,287.49
LENOVO,WINDOWS,3,7.906890596,SSD,3717,3,14,157,0,YES,300.49
ASUS,WINDOWS,3,8,SSD,3968,3,15.6,141,1,YES,368.49
OTHER,WINDOWS,3,8,SSD,7088,3,14,157,0,YES,429.99
LENOVO,WINDOWS,3,8,SSD,5925,3,15.6,141,0,YES,429.99
MSI,WINDOWS,3,8,SSD,7763,2,17.3,127,2,YES,899.99
ASUS,WINDOWS,3,8,SSD,7763,2,15.6,141,1,YES,494.99
LENOVO,WINDOWS,3,8,SSD,7763,2,17.3,127,1,YES,799.99
LENOVO,WINDOWS,4,8,SSD,11176,2,15.6,141,0,YES,1354.99
ASUS,WINDOWS,3,8,SSD,7088,3,15.6,141,1,YES,356.49
LENOVO,WINDOWS,3,8,SSD,7088,3,15.6,141,1,YES,347.99
HP,WINDOWS,3,8,SSD,3011,3,14,157,0,YES,459.49
LENOVO,WINDOWS,3,8,SSD,3256,3,12.5,117,0,YES,218.49
HP,WINDOWS,3,8,SSD,3011,3,14,157,0,YES,299.49
DELL,WINDOWS,3,8,SSD,2743,4,12.5,117,0,YES,206.99
HP,WINDOWS,3,8,SSD,2501,4,14,105,0,YES,395.99
LENOVO,WINDOWS,3,8,SSD,2743,4,12.5,117,0,YES,217.49
LENOVO,WINDOWS,3,8,SSD,3393,3,14,157,0,YES,577.49
HP,WINDOWS,3,8,SSD,3393,3,14,157,0,YES,486.99
HP,WINDOWS,3,8,SSD,3256,3,12.5,176,0,YES,253.99
LENOVO,WINDOWS,3,8,SSD,6783,3,14,157,3,YES,758.99
ASUS,WINDOWS,4,10.96578428,SSD,21223,2,16,189,1,YES,1458.49
ASUS,WINDOWS,5,10.96578428,SSD,21491,1,15.6,141,1,YES,2523.99
ASUS,WINDOWS,5,10.96578428,SSD,23079,1,17.3,127,1,YES,2449.49
ASUS,WINDOWS,5,9.965784285,SSD,23079,1,15.6,188,1,YES,2311.49
HP,CHROMEOS,2,5,EMMC,1115,4,14,157,1,YES,95.99
OTHER,WINDOWS,3,8.906890596,SSD,2102,4,15.6,94,0,YES,199.99
LENOVO,WINDOWS,4,9,SSD,12285,2,17.3,127,1,YES,918.49
ASUS,WINDOWS,3,9,SSD,7966,2,15.6,141,1,YES,472.99
MSI,WINDOWS,3,9,SSD,21223,2,15.6,141,1,YES,623.49
MEDION,WINDOWS,4,9,SSD,21366,2,17.3,127,2,YES,825.49
LENOVO,WINDOWS,5,9,SSD,21366,2,15.6,282,1,YES,1310.99
LENOVO,WINDOWS,4,9,SSD,21366,2,15.6,188,1,YES,1147.49
OTHER,WINDOWS,4,9,SSD,21223,2,17.3,127,2,YES,1137.49
LENOVO,WINDOWS,4,9,SSD,10505,3,15.6,141,1,YES,799.99
LENOVO,WINDOWS,4,9,SSD,10076,2,15.6,141,3,YES,990.49
GEO,WINDOWS,2,7,SSD,2152,4,13.3,166,1,NO,329.99
GEO,WINDOWS,2,7,SSD,2152,4,13.3,166,1,NO,339.99
ACER,CHROMEOS,3,7,SSD,3343,4,13.3,166,1,NO,525.49
APPLE,MACOS,4,9.965784285,SSD,15180,3,13.6,224,1,NO,1789
APPLE,MACOS,4,9,SSD,15180,3,13.6,224,1,NO,1589
APPLE,MACOS,4,9,SSD,14543,2,14,254,1,NO,1751.49
HP,WINDOWS,4,9,SSD,21223,2,17.3,125,0,NO,2511.99
ASUS,WINDOWS,4,9.965784285,SSD,23079,1,15.6,141,1,NO,1499.97
ASUS,WINDOWS,4,9.965784285,SSD,23079,1,15.6,188,1,NO,1899.99
ASUS,WINDOWS,4,9.965784285,SSD,23697,1,14,162,1,NO,1799.97
RAZER,WINDOWS,4,9.965784285,SSD,23392,2,17.3,170,1,NO,2699.99
ASUS,WINDOWS,4,9.965784285,SSD,11966,2,16,275,0,NO,1329.99
ASUS,WINDOWS,4,9.965784285,SSD,23079,2,15.6,141,1,NO,1101.1
ASUS,WINDOWS,5,9.965784285,SSD,23079,2,16,275,0,NO,1539.99
ASUS,WINDOWS,4,9.965784285,SSD,29151,2,13.4,169,1,NO,2023.18
ASUS,WINDOWS,4,9.965784285,SSD,29151,2,13.4,338,1,NO,3003.4
ASUS,WINDOWS,4,9.965784285,SSD,22153,2,14,210,1,NO,1689.99
ASUS,WINDOWS,5,9.965784285,SSD,21491,2,13.4,164,1,NO,2679.46
MEDION,WINDOWS,4,9.965784285,SSD,21366,2,15.6,141,2,NO,939.99
ACER,WINDOWS,4,9.965784285,SSD,11966,2,14,157,0,NO,1369.52
ASUS,WINDOWS,4,9.965784285,SSD,23079,2,15.6,141,1,NO,1340.72
MSI,WINDOWS,4,9.965784285,SSD,27127,2,15.6,188,1,NO,1229.99
ASUS,WINDOWS,4,9.965784285,SSD,23322,2,15.6,188,1,NO,1189.99
RAZER,WINDOWS,4,9.965784285,SSD,21223,2,17.3,127,1,NO,2589.99
MEDION,WINDOWS,4,9.965784285,SSD,21366,2,15.6,141,2,NO,939.99
ASUS,WINDOWS,4,9.965784285,SSD,23079,2,15.6,188,1,NO,1589.99
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,2,16,142,3,NO,1649.99
MSI,WINDOWS,4,9.965784285,SSD,27127,2,17.3,127,1,NO,1559.99
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,2,16,138,3,NO,1749.99
RAZER,WINDOWS,4,9.965784285,SSD,21223,2,17.3,170,1,NO,2249.99
ACER,WINDOWS,4,9.965784285,SSD,27127,2,15.6,141,1,NO,1399.97
OTHER,WINDOWS,4,9.965784285,SSD,27127,2,15.6,141,2,NO,1654.42
MSI,WINDOWS,4,9.965784285,SSD,27127,2,15.6,141,2,NO,1579.99
MSI,WINDOWS,4,9.965784285,SSD,27127,2,17.3,127,2,NO,1759.99
HP,WINDOWS,4,9.965784285,SSD,21223,2,16.1,182,0,NO,1399.99
RAZER,WINDOWS,4,9.965784285,SSD,23392,2,15.6,188,1,NO,2746.96
RAZER,WINDOWS,4,9.965784285,SSD,21223,1,15.6,141,1,NO,2689.99
MSI,WINDOWS,4,9.965784285,SSD,29151,1,17.3,127,1,NO,1829.99
ASUS,WINDOWS,5,9.965784285,SSD,23079,1,15.6,141,1,NO,2449.99
ACER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,1,NO,1599.97
OTHER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,141,2,NO,1664.21
ASUS,WINDOWS,5,9.965784285,SSD,23319,1,15.6,141,1,NO,2259.99
MSI,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,1,NO,1579.99
OTHER,WINDOWS,5,9.965784285,SSD,21223,1,17.3,255,2,NO,2939.99
RAZER,WINDOWS,4,9.965784285,SSD,21223,1,17.3,127,1,NO,2559.99
LENOVO,WINDOWS,5,9.965784285,SSD,23322,1,15.6,188,1,NO,1699.97
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,1,16,142,3,NO,1949.99
MEDION,WINDOWS,4,9.965784285,SSD,27127,1,17.3,170,2,NO,1769.99
MSI,WINDOWS,5,9.965784285,SSD,27127,1,17.3,170,2,NO,2559.99
ASUS,WINDOWS,4,9.965784285,SSD,24382,1,15.6,188,1,NO,1959.99
RAZER,WINDOWS,4,9.965784285,SSD,24636,1,14,210,1,NO,2649.99
RAZER,WINDOWS,4,9.965784285,SSD,23392,1,17.3,170,1,NO,3499.81
ACER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,141,1,NO,1799.97
RAZER,WINDOWS,4,9.965784285,SSD,23392,1,15.6,188,1,NO,3286.19
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,1,16,138,3,NO,2099.99
ACER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,1,NO,1999.99
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,1,16,184,3,NO,1799.99
MSI,WINDOWS,5,9.965784285,SSD,27127,1,15.6,188,2,NO,2299.97
MSI,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,2,NO,1899.97
RAZER,WINDOWS,4,9.965784285,SSD,23392,1,17.3,127,1,NO,2699.97
OTHER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,2,NO,2223.98
RAZER,WINDOWS,4,9.965784285,SSD,21223,1,15.6,141,1,NO,3286.19
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,1,16,142,3,NO,2349.99
RAZER,WINDOWS,5,9.965784285,SSD,21223,1,17.3,127,1,NO,3259.99
MSI,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,2,NO,2459.99
MSI,WINDOWS,4,9.965784285,SSD,27127,1,17.3,127,2,NO,2199.99
ASUS,WINDOWS,4,9.965784285,SSD,23697,1,15.6,188,1,NO,2329.99
OTHER,WINDOWS,4,9.965784285,SSD,21223,1,15.6,282,2,NO,3269.99
ACER,WINDOWS,4,9.965784285,SSD,27127,1,15.6,188,1,NO,1999.97
RAZER,WINDOWS,5,9.965784285,SSD,23392,1,17.3,127,1,NO,3499.97
RAZER,WINDOWS,5,9.965784285,SSD,23392,1,15.6,141,1,NO,4130.6
RAZER,WINDOWS,4,9.965784285,SSD,24636,1,14,210,1,NO,3815.21
MEDION,WINDOWS,5,9.965784285,SSD,27127,1,17.3,170,2,NO,2449.99
RAZER,WINDOWS,5,9.965784285,SSD,23392,1,15.6,188,1,NO,3499.97
OTHER,WINDOWS,4,9.965784285,SSD,27127,1,17.3,127,2,NO,3113.05
LENOVO,WINDOWS,5,9.965784285,SSD,23392,2,16,283,3,NO,2437.49
APPLE,MACOS,4,9.965784285,SSD,41175,2,14,254,1,NO,2210.49
APPLE,MACOS,4,9.965784285,SSD,41175,2,16,254,1,NO,2393.99
APPLE,MACOS,4,9.965784285,SSD,41175,2,16,254,1,NO,2393.99
APPLE,MACOS,4,9.965784285,SSD,41175,2,14,254,1,NO,2249
APPLE,MACOS,5,9.965784285,SSD,22333,1,16,254,1,NO,3036.49
APPLE,MACOS,5,9.965784285,SSD,22333,1,16,254,1,NO,3036.49
APPLE,MACOS,3,9.965784285,SSD,14543,3,13,224,1,NO,1389
APPLE,MACOS,4,9.965784285,SSD,14543,3,13,224,1,NO,1589
LENOVO,WINDOWS,5,9.965784285,SSD,23079,2,16,189,1,NO,1736.49
HP,WINDOWS,5,9.965784285,SSD,21223,1,15.6,141,3,NO,2620.99
LENOVO,WINDOWS,5,9.965784285,SSD,21223,1,15.6,282,3,NO,2887.99
LENOVO,WINDOWS,5,9.965784285,SSD,21142,1,16,189,3,NO,2142.99
LENOVO,WINDOWS,5,9.965784285,SSD,21223,1,15.6,282,3,NO,3493.99
LENOVO,WINDOWS,5,9.965784285,SSD,22413,1,16,283,3,NO,2934.99
DELL,WINDOWS,5,9.965784285,SSD,23392,2,14,162,3,NO,3071.99
LENOVO,WINDOWS,5,9.965784285,SSD,22413,2,15.6,141,3,NO,2780.49
DELL,WINDOWS,5,9.965784285,SSD,29151,2,15.6,290,3,NO,4055.49
DELL,WINDOWS,5,9.965784285,SSD,29151,2,17,266,3,NO,5034.49
LENOVO,WINDOWS,5,9.965784285,SSD,21142,2,16,189,3,NO,2293.99
LENOVO,WINDOWS,5,9.965784285,SSD,22413,1,15.6,141,3,NO,3817.49
HP,WINDOWS,4,9.965784285,SSD,10505,2,14,157,3,NO,2134.49
HP,WINDOWS,5,9.965784285,SSD,10505,2,15.6,141,3,NO,1645.99
LENOVO,WINDOWS,5,9.965784285,SSD,21223,2,15.6,141,3,NO,2258.99
DELL,WINDOWS,5,9.965784285,SSD,29151,2,14,216,3,NO,3779.49
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,2,14,210,3,NO,1429.99
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,2,14,210,3,NO,1369.99
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,2,16,184,3,NO,1549.99
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,1,16,184,3,NO,1879.99
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,1,16,138,3,NO,2449.99
CHILLBLAST,WINDOWS,5,9.965784285,SSD,27127,1,16,184,3,NO,2499.99
CHILLBLAST,WINDOWS,4,9.965784285,SSD,27127,1,16,184,3,NO,2399.99
LENOVO,WINDOWS,3,8,SSD,14711,2,15.6,141,1,NO,599.97
ACER,WINDOWS,3,8,SSD,13181,2,15.6,141,1,NO,549.97
LENOVO,WINDOWS,3,8,SSD,10193,2,14,157,3,NO,959.99
LENOVO,WINDOWS,3,8,SSD,17257,3,13.3,170,1,NO,778.99
LENOVO,WINDOWS,4,8,SSD,16888,3,13.3,170,3,NO,1751.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,169.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,319.99
AVITA,WINDOWS,2,8,SSD,7088,3,14,157,2,NO,219.99
AVITA,WINDOWS,2,8,SSD,7088,3,14,157,2,NO,299.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,179.99
LENOVO,WINDOWS,3,8,SSD,7088,3,15.6,141,1,NO,419.99
AVITA,WINDOWS,3,8,SSD,7088,3,14,157,2,NO,299.99
AVITA,WINDOWS,3,8,SSD,7088,3,14,157,2,NO,299.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,199.99
DELL,WINDOWS,3,8,SSD,6775,3,15.6,141,1,NO,490.49
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,209.99
AVITA,WINDOWS,2,8,SSD,7088,3,14,157,2,NO,209.99
AVITA,WINDOWS,2,8,SSD,3875,3,14,157,2,NO,209.99
ASUS,WINDOWS,3,8,SSD,7088,3,15.6,141,0,NO,466.99
AVITA,WINDOWS,3,8,SSD,7088,3,14,157,1,NO,469.99
AVITA,WINDOWS,3,8,SSD,7088,3,14,157,1,NO,469.99
AVITA,WINDOWS,3,8,SSD,7088,3,14,157,1,NO,460
APPLE,MACOS,3,8,SSD,14543,3,13,224,1,NO,925.49
APPLE,MACOS,4,8,SSD,14543,3,13,224,1,NO,1179
LENOVO,WINDOWS,4,8,SSD,5734,3,13.3,170,3,NO,1377.49
DELL,WINDOWS,4,8,SSD,10505,2,15.6,141,3,NO,1577.99
DELL,WINDOWS,3,8,SSD,7763,2,15.6,141,1,NO,859.99
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,2,16,142,3,NO,1699.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,2,16,142,3,NO,1829.99
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,1,16,142,3,NO,1999.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,1,16,138,3,NO,2149.99
ASUS,WINDOWS,5,10.96578428,SSD,29151,1,17.3,170,1,NO,2499.97
MSI,WINDOWS,5,10.96578428,SSD,29151,1,17.3,255,2,NO,3139.99
OTHER,WINDOWS,4,10.96578428,SSD,27127,1,17.3,255,2,NO,3034.74
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,1,16,138,3,NO,2399.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,1,16,142,3,NO,2499.99
ACER,WINDOWS,5,10.96578428,SSD,21223,1,16,189,0,NO,1999.97
MSI,WINDOWS,5,10.96578428,SSD,29151,1,17.3,127,2,NO,3239.99
ASUS,WINDOWS,5,10.96578428,SSD,29151,1,16,184,1,NO,3299.97
MSI,WINDOWS,5,10.96578428,SSD,29151,1,17.3,255,2,NO,3649.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,1,16,184,3,NO,2599.99
LENOVO,WINDOWS,5,10.96578428,SSD,18810,1,17.3,255,3,NO,5691.99
LENOVO,WINDOWS,6,10.96578428,SSD,18810,1,15.6,282,3,NO,5987.49
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,2,14,210,3,NO,1499.99
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,2,16,184,3,NO,1629.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,2,16,184,3,NO,1769.99
CHILLBLAST,WINDOWS,5,10.96578428,SSD,27127,1,16,184,3,NO,1949.99
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,1,16,184,3,NO,1899.99
CHILLBLAST,WINDOWS,4,10.96578428,SSD,27127,1,16,184,3,NO,2499.99
HP,CHROMEOS,2,5,EMMC,1902,4,11.6,127,2,NO,299.99
HP,CHROMEOS,2,5,EMMC,1902,4,11.6,127,1,NO,233.49
HP,CHROMEOS,2,5,EMMC,1902,4,11.6,127,1,NO,237.49
